16	15
0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	
3	3	3	3	3	5	3	3	3	3	3	3	3	3	3	3	
3	3	3	4	4	4	3	3	3	3	3	4	3	3	3	3	
3	3	3	6	7	8	3	3	3	3	3	5	3	3	3	3	
3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
